A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|A -> sensação
sensação -> de
de -> insegurança
sensação -> e
e -> debilidade
debilidade -> de
de -> poder
poder -> o
o -> público
insegurança -> de
de -> os
os -> Estados
Estados -> Unidos
Unidos -> de
de -> o
o -> final
final -> de
de -> o
o -> século
século -> 18
18 -> ,
, -> quando
quando -> (
( -> segundo
segundo -> versão
versão -> mais
mais -> aceita
aceita -> )
) -> a
a -> palavra
palavra -> teria
teria -> sido
sido -> inventada
inventada -> a
a -> partir
partir -> de
de -> a
a -> prática
prática -> adotada
adotada -> por
por -> um
um -> juiz
juiz -> Lynch
Lynch -> ,
, -> de
de -> condenar
condenar -> e
e -> executar
executar -> seus
seus -> adversários
adversários -> sem
sem -> o
o -> devido
devido -> processo
processo -> legal
devido -> .
. ->
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [final]
REFINE [final]
REFINE [final]
REFINE [final]
REFINE [final]
-----------END REFINE---------
REFINE [final]
REFINE [final]
REFINE [final]
REFINE [final]
REFINE [final]
REFINE [final]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [século]
REFINE [século]
REFINE [século]
REFINE [século]
REFINE [século]
-----------END REFINE---------
REFINE [século]
REFINE [século]
REFINE [século]
REFINE [século]
REFINE [século]
REFINE [século]
-----------END REFINE---------
REFINE [18]
REFINE [18]
REFINE [18]
REFINE [18]
REFINE [18]
-----------END REFINE---------
REFINE [18]
REFINE [18]
REFINE [18]
REFINE [18]
REFINE [18]
REFINE [18]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [quando]
REFINE [quando]
REFINE [quando]
REFINE [quando]
REFINE [quando]
-----------END REFINE---------
REFINE [quando]
REFINE [quando]
REFINE [quando]
REFINE [quando]
REFINE [quando]
REFINE [quando]
-----------END REFINE---------
REFINE [(]
REFINE [(]
REFINE [(]
REFINE [(]
REFINE [(]
-----------END REFINE---------
REFINE [(]
REFINE [(]
REFINE [(]
REFINE [(]
REFINE [(]
REFINE [(]
-----------END REFINE---------
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
-----------END REFINE---------
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
REFINE [segundo]
-----------END REFINE---------
REFINE [versão]
REFINE [versão]
REFINE [versão]
REFINE [versão]
REFINE [versão]
-----------END REFINE---------
REFINE [versão]
REFINE [versão]
REFINE [versão]
REFINE [versão]
REFINE [versão]
REFINE [versão]
-----------END REFINE---------
REFINE [mais]
REFINE [mais]
REFINE [mais]
REFINE [mais]
REFINE [mais]
-----------END REFINE---------
REFINE [mais]
REFINE [mais]
REFINE [mais]
REFINE [mais]
REFINE [mais]
REFINE [mais]
-----------END REFINE---------
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
-----------END REFINE---------
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
REFINE [aceita]
-----------END REFINE---------
REFINE [)]
REFINE [)]
REFINE [)]
REFINE [)]
REFINE [)]
-----------END REFINE---------
REFINE [)]
REFINE [)]
REFINE [)]
REFINE [)]
REFINE [)]
REFINE [)]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
-----------END REFINE---------
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
REFINE [palavra]
-----------END REFINE---------
REFINE [teria]
REFINE [teria]
REFINE [teria]
REFINE [teria]
REFINE [teria]
-----------END REFINE---------
REFINE [teria]
REFINE [teria]
REFINE [teria]
REFINE [teria]
REFINE [teria]
REFINE [teria]
-----------END REFINE---------
REFINE [sido]
REFINE [sido]
REFINE [sido]
REFINE [sido]
REFINE [sido]
-----------END REFINE---------
REFINE [sido]
REFINE [sido]
REFINE [sido]
REFINE [sido]
REFINE [sido]
REFINE [sido]
-----------END REFINE---------
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
-----------END REFINE---------
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
REFINE [inventada]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [partir]
REFINE [partir]
REFINE [partir]
REFINE [partir]
REFINE [partir]
-----------END REFINE---------
REFINE [partir]
REFINE [partir]
REFINE [partir]
REFINE [partir]
REFINE [partir]
REFINE [partir]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [prática]
REFINE [prática]
REFINE [prática]
REFINE [prática]
REFINE [prática]
-----------END REFINE---------
REFINE [prática]
REFINE [prática]
REFINE [prática]
REFINE [prática]
REFINE [prática]
REFINE [prática]
-----------END REFINE---------
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
-----------END REFINE---------
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
REFINE [adotada]
-----------END REFINE---------
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
-----------END REFINE---------
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
-----------END REFINE---------
REFINE [um]
REFINE [um]
REFINE [um]
REFINE [um]
REFINE [um]
-----------END REFINE---------
REFINE [um]
REFINE [um]
REFINE [um]
REFINE [um]
REFINE [um]
REFINE [um]
-----------END REFINE---------
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
-----------END REFINE---------
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
REFINE [juiz]
-----------END REFINE---------
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
-----------END REFINE---------
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
REFINE [Lynch]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
-----------END REFINE---------
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
REFINE [condenar]
-----------END REFINE---------
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
-----------END REFINE---------
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
REFINE [e]
-----------END REFINE---------
REFINE [executar]
REFINE [executar]
REFINE [executar]
REFINE [executar]
REFINE [executar]
-----------END REFINE---------
REFINE [executar]
REFINE [executar]
REFINE [executar]
REFINE [executar]
REFINE [executar]
REFINE [executar]
-----------END REFINE---------
REFINE [seus]
REFINE [seus]
REFINE [seus]
REFINE [seus]
REFINE [seus]
-----------END REFINE---------
REFINE [seus]
REFINE [seus]
REFINE [seus]
REFINE [seus]
REFINE [seus]
REFINE [seus]
-----------END REFINE---------
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
-----------END REFINE---------
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
REFINE [adversários]
-----------END REFINE---------
REFINE [sem]
REFINE [sem]
REFINE [sem]
REFINE [sem]
REFINE [sem]
-----------END REFINE---------
REFINE [sem]
REFINE [sem]
REFINE [sem]
REFINE [sem]
REFINE [sem]
REFINE [sem]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
REFINE [o]
-----------END REFINE---------
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
-----------END REFINE---------
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
-----------END REFINE---------
REFINE [processo]
REFINE [processo]
REFINE [processo]
REFINE [processo]
REFINE [processo]
-----------END REFINE---------
REFINE [processo]
REFINE [processo]
REFINE [processo]
REFINE [processo]
REFINE [processo]
REFINE [processo]
-----------END REFINE---------
REFINE [legal]
REFINE [legal]
REFINE [legal]
REFINE [legal]
REFINE [legal]
-----------END REFINE---------
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
REFINE [devido]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
chatGPT|:|sensação<@>de<#>de<@>insegurança<#>sensação<@>e<#>e<@>debilidade<#>debilidade<@>de<#>de<@>poder<#>poder<@>o<#>o<@>público<#>insegurança<@>de<#>de<@>os<#>os<@>Estados<#>Estados<@>Unidos<#>Unidos<@>de<#>de<@>o<#>o<@>final<#>final<@>de<#>de<@>o<#>o<@>século<#>século<@>18<#>18<@>,<#>,<@>quando<#>quando<@>(<#>(<@>segundo<#>segundo<@>versão<#>versão<@>mais<#>mais<@>aceita<#>aceita<@>)<#>)<@>a<#>a<@>palavra<#>palavra<@>teria<#>teria<@>sido<#>sido<@>inventada<#>inventada<@>a<#>a<@>partir<#>partir<@>de<#>de<@>a<#>a<@>prática<#>prática<@>adotada<#>adotada<@>por<#>por<@>um<#>um<@>juiz<#>juiz<@>Lynch<#>Lynch<@>,<#>,<@>de<#>de<@>condenar<#>condenar<@>e<#>e<@>executar<#>executar<@>seus<#>seus<@>adversários<#>adversários<@>sem<#>sem<@>o<#>o<@>devido<#>devido<@>processo<#>processo<@>legal<#>devido<@>.<#>.<@>|:|UDA:0.381<#>DDA: 0.270
GoldTree |:|A<@>sensação<@>det<#>sensação<@>características<@>nsubj<#>de<@>insegurança<@>case<#>insegurança<@>sensação<@>nmod<#>e<@>debilidade<@>cc<#>a<@>debilidade<@>det<#>debilidade<@>sensação<@>conj<#>de<@>poder<@>case<#>o<@>poder<@>det<#>poder<@>debilidade<@>nmod<#>público<@>poder<@>amod<#>eram<@>características<@>cop<#>sem<@>dúvida<@>case<#>dúvida<@>características<@>nmod<#>características<@>root<@>root<#>de<@>Estados<@>case<#>os<@>Estados<@>det<#>Estados<@>características<@>nmod<#>Unidos<@>Estados<@>flat<#>de<@>final<@>case<#>o<@>final<@>det<#>final<@>Estados<@>nmod<#>de<@>século<@>case<#>o<@>século<@>det<#>século<@>final<@>nmod<#>18<@>século<@>nummod<#>,<@>características<@>punct<#>quando<@>inventada<@>advmod<#>(<@>versão<@>punct<#>segundo<@>versão<@>case<#>a<@>versão<@>det<#>versão<@>quando<@>obl<#>mais<@>aceita<@>advmod<#>aceita<@>versão<@>acl<#>)<@>versão<@>punct<#>a<@>palavra<@>det<#>palavra<@>inventada<@>nsubj<#>teria<@>inventada<@>aux<#>sido<@>inventada<@>aux<#>inventada<@>características<@>advcl<#>a<@>partir<@>case<#>partir<@>quando<@>obl<#>de<@>prática<@>case<#>a<@>prática<@>det<#>prática<@>partir<@>nmod<#>adotada<@>prática<@>acl<#>por<@>juiz<@>case<#>um<@>juiz<@>det<#>juiz<@>adotada<@>obl<#>Lynch<@>juiz<@>appos<#>,<@>adotada<@>punct<#>de<@>condenar<@>mark<#>condenar<@>prática<@>acl<#>e<@>executar<@>cc<#>executar<@>condenar<@>conj<#>seus<@>adversários<@>det<#>adversários<@>executar<@>obj<#>sem<@>processo<@>case<#>o<@>processo<@>det<#>devido<@>processo<@>amod<#>processo<@>executar<@>obl<#>legal<@>processo<@>amod<#>.<@>características<@>punct
>--<
Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção .", usando o formato (token dependente -> token cabeça).
REPLY|:|relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos, em São Paulo, ficaram conformados com a derrota de sua seleção": 

1. norte-americanos -> Os
2. reuniram -> norte-americanos
3. ontem -> reuniram
4. em -> reuniram
5. a -> Câmara
6. Câmara -> de
7. Comércio -> Câmara
8. Brasil-Estados Unidos -> Comércio
9. em -> comércio
10. São Paulo -> em
11. São Paulo -> ficaram
12. ficaram -> norte-americanos
13. conformados -> ficaram
14. com -> derrota
15. derrota -> de
16. sua -> seleção
17. seleção -> derrota
REFINE [1. norte-americanos]
REFINE [1. norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [Os]
REFINE [Os]
REFINE [Os]
REFINE [Os]
REFINE [Os]
-----------END REFINE---------
REFINE [2. reuniram]
REFINE [2. reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [3. ontem]
REFINE [3. ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [4. em]
REFINE [4. em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [5. a]
REFINE [5. a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [6. Câmara]
REFINE [6. Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [7. Comércio]
REFINE [7. Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [8. Brasil-Estados Unidos]
REFINE [8. Brasil-Estados Unidos]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [9. em]
REFINE [9. em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [comércio]
REFINE [comércio]
REFINE [comércio]
REFINE [comércio]
REFINE [comércio]
-----------END REFINE---------
REFINE [10. São Paulo]
REFINE [10. São Paulo]
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [11. São Paulo]
REFINE [11. São Paulo]
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [12. ficaram]
REFINE [12. ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [13. conformados]
REFINE [13. conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [14. com]
REFINE [14. com]
REFINE [com]
REFINE [com]
REFINE [com]
REFINE [com]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [15. derrota]
REFINE [15. derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [16. sua]
REFINE [16. sua]
REFINE [sua]
REFINE [sua]
REFINE [sua]
REFINE [sua]
-----------END REFINE---------
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [17. seleção]
REFINE [17. seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
chatGPT|:|<@><#>norte-americanos<@>Os<#>reuniram<@>norte-americanos<#>ontem<@>reuniram<#>em<@>reuniram<#>a<@>Câmara<#>Câmara<@>de<#>Comércio<@>Câmara<#>Brasil-Estados<@>Comércio<#>em<@>comércio<#>São<@>em<#>São<@>ficaram<#>ficaram<@>norte-americanos<#>conformados<@>ficaram<#>com<@>derrota<#>derrota<@>de<#>sua<@>seleção<#>seleção<@>derrota|:|UDA:0.444<#>DDA: 0.333
GoldTree |:|Os<@>norte-americanos<@>det<#>norte-americanos<@>ficaram<@>nsubj<#>que<@>reuniram<@>nsubj<#>se<@>reuniram<@>expl<#>reuniram<@>norte-americanos<@>acl<#>ontem<@>reuniram<@>advmod<#>em<@>Câmara<@>case<#>a<@>Câmara<@>det<#>Câmara<@>reuniram<@>obl<#>de<@>Comércio<@>case<#>Comércio<@>Câmara<@>nmod<#>Brasil-Estados<@>Comércio<@>flat<#>Unidos<@>Comércio<@>flat<#>,<@>reuniram<@>punct<#>em<@>São<@>case<#>São<@>reuniram<@>obl<#>Paulo<@>São<@>flat<#>,<@>reuniram<@>punct<#>ficaram<@>root<@>root<#>conformados<@>ficaram<@>xcomp<#>com<@>derrota<@>case<#>a<@>derrota<@>det<#>derrota<@>ficaram<@>obl<#>de<@>seleção<@>case<#>sua<@>seleção<@>det<#>seleção<@>derrota<@>nmod<#>.<@>ficaram<@>punct
>--<
Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção . Folha -- Como você recebeu a notícia de que seria substituído ?
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção . Folha -- Como você recebeu a notícia de que seria substituído ?", usando o formato (token dependente -> token cabeça).
REPLY|:|- norte-americanos -> Os
- reuniram -> norte-americanos
- em -> reuniram
- Câmara -> em
- Comércio -> Câmara
- Brasil-Estados -> Comércio
- Unidos -> Brasil-Estados
- em -> reuniram
- Paulo -> em
- ficaram -> reuniram
- conformados -> ficaram
- derrota -> conformados
- seleção -> derrota
- . -> ficaram
- Como -> recebeu
- você -> recebeu
- a -> notícia
- notícia -> recebeu
- de -> recebeu
- que -> substituído
- seria -> substituído
- substituído -> recebeu
- ? -> substituído
REFINE [- reuniram]
REFINE [- reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [- em]
REFINE [- em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [- Câmara]
REFINE [- Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [- Comércio]
REFINE [- Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
